actor_id,actor_name,rank,Label
233,柳岩,17,actor
234,罗莽,17,actor
235,白彪,17,actor
236,关之琳,17,actor
237,李冰冰,17,actor
238,蔡卓妍,17,actor
239,郑裕玲,17,actor
240,朱丽·沃特斯,16,actor
241,雨果·维文,16,actor
242,姜文,16,actor
243,安东尼·霍普金斯,16,actor
244,裘德·洛,16,actor
245,刘玉玲,16,actor
246,林青霞,16,actor
247,夏雨,16,actor
248,林威,16,actor
249,王晶,16,actor
250,克里斯汀·韦格,16,actor
251,鲍起静,16,actor
252,伍迪·哈里森,16,actor
253,约翰·雷吉扎莫,16,actor
254,达斯汀·霍夫曼,16,actor
255,阿诺·施瓦辛格,16,actor
256,艾蒂,16,actor
257,张国强,16,actor
258,刘烨,16,actor
259,梅艳芳,16,actor
260,章子怡,16,actor
261,恬妮,16,actor
262,乔什·布洛林,16,actor
263,道恩·强森,16,actor
264,亚历克·鲍德温,16,actor
265,大鹏,16,actor
266,杨幂,16,actor
267,孙红雷,16,actor
268,曹查理,16,actor
269,张静初,16,actor
270,张卫健,16,actor
271,刘松仁,16,actor
272,石坚,16,actor
273,吴大维,15,actor
274,威尔·史密斯,15,actor
275,克里斯蒂安·贝尔,15,actor
276,爱德华·诺顿,15,actor
277,光石研,15,actor
278,米歇尔·罗德里格兹,15,actor
279,比尔·默瑞,15,actor
280,张柏芝,15,actor
281,袁祥仁,15,actor
282,黎明,15,actor
283,朱迪·丹奇,15,actor
284,西蒙·佩吉,15,actor
285,马克·斯特朗,15,actor
286,瑞安·雷诺兹,15,actor
287,胡枫,15,actor
288,阿尔弗雷德·希区柯克,15,actor
289,刘桦,15,actor
290,皮尔斯·布鲁斯南,15,actor
291,田雨,15,actor
292,科林·法瑞尔,15,actor
293,布莱德利·库珀,15,actor
294,沈腾,15,actor
295,王清河,15,actor
296,刘以达,15,actor
297,田青,15,actor
298,克里斯·帕拉特,15,actor
299,妮可·基德曼,15,actor
300,刘仪伟,15,actor
301,苍井优,15,actor
302,阿曼达·塞弗里德,15,actor
303,钟欣潼,15,actor
304,小罗伯特·唐尼,15,actor
305,毛舜筠,15,actor
306,吴家丽,15,actor
307,加里·格兰特,15,actor
308,黎耀祥,15,actor
309,国村隼,15,actor
310,吴樾,15,actor
311,柯受良,15,actor
312,詹姆斯·麦卡沃伊,15,actor
313,文章,15,actor
314,笠智众,15,actor
315,杨丽菁,15,actor
316,黄百鸣,15,actor
317,弗兰克·维尔克,15,actor
318,让·雷诺,14,actor
319,安妮·海瑟薇,14,actor
320,阿尔·帕西诺,14,actor
321,艾米·亚当斯,14,actor
322,保罗·贝坦尼,14,actor
323,保罗·吉亚玛提,14,actor
324,哈威·凯特尔,14,actor
325,本·阿弗莱克,14,actor
326,阿尔弗雷德·莫里纳,14,actor
327,柄本明,14,actor
328,凯拉·奈特莉,14,actor
329,杰克·吉伦哈尔,14,actor
330,金城武,14,actor
331,王学圻,14,actor
332,玛娅·鲁道夫,14,actor
333,劳拉·邓恩,14,actor
334,斯坦利·图齐,14,actor
335,乔纳·希尔,14,actor
336,唐纳德·萨瑟兰,14,actor
337,西恩·潘,14,actor
338,约翰·C·赖利,14,actor
339,朱莉娅·罗伯茨,14,actor
340,赵文卓,14,actor
341,麦克·辛,14,actor
342,谢天华,14,actor
343,张继聪,14,actor
344,周冬雨,14,actor
345,亚当·德赖弗,14,actor
346,杨志卿,14,actor
347,尹子维,14,actor
348,朗·普尔曼,14,actor
349,梅丽尔·斯特里普,14,actor
350,林嘉欣,14,actor
351,坂本真绫,14,actor
352,本尼西奥·德尔·托罗,14,actor
353,卡梅隆·迪亚兹,14,actor
354,成泰燊,14,actor
355,佟丽娅,14,actor
356,包贝尔,14,actor
357,乔杉,14,actor
358,海伦·米伦,14,actor
359,戚冠军,14,actor
360,尤勇智,14,actor
361,王学兵,14,actor
362,马克·沃尔伯格,14,actor
363,詹瑞文,14,actor
364,肖恩·康纳利,14,actor
365,顾冠忠,14,actor
366,陈友,14,actor
367,汤米·李·琼斯,14,actor
