勇敢的心 Braveheart,8.9,,,,,,,
唐伯虎点秋香 唐伯虎點秋香,8.7,,,,,,,
一一,9.1,,,,,,,
哈利·波特与密室 Harry Potter and the Chamber of Secrets,8.8,,,,,,,
入殓师 おくりびと,8.9,,,,,,,
第六感 The Sixth Sense,8.9,,,,,,,
爱在黎明破晓前 Before Sunrise,8.8,,,,,,,
重庆森林 重慶森林,8.8,,,,,,,
天使爱美丽 Le fabuleux destin d'Amélie Poulain,8.7,,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,8.8,,,,,,,
幽灵公主 もののけ姫,8.9,,,,,,,
菊次郎的夏天 菊次郎の夏,8.9,,,,,,,
小森林 夏秋篇 リトル・フォレスト 夏・秋,9.0,,,,,,,
阳光灿烂的日子,8.9,,,,,,,
超能陆战队 Big Hero 6,8.7,,,,,,,
完美的世界 A Perfect World,9.1,,,,,,,
爱在日落黄昏时 Before Sunset,8.9,,,,,,,
无人知晓 誰も知らない,9.1,,,,,,,
消失的爱人 Gone Girl,8.7,,,,,,,
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,8.9,,,,,,,
甜蜜蜜,8.9,,,,,,,
倩女幽魂,8.8,,,,,,,
小森林 冬春篇 リトル・フォレスト 冬・春,9.0,,,,,,,
侧耳倾听 耳をすませば,8.9,,,,,,,
时空恋旅人 About Time,8.8,,,,,,,
幸福终点站 The Terminal,8.8,,,,,,,
驯龙高手 How to Train Your Dragon,8.8,,,,,,,
萤火之森 蛍火の杜へ,8.9,,,,,,,
"怪兽电力公司 Monsters, Inc.",8.8,,,,,,,
教父3 The Godfather: Part III,9.0,,,,,,,
玛丽和马克思 Mary and Max,8.9,,,,,,,
一个叫欧维的男人决定去死 En man som heter Ove,8.9,,,,,,,
寄生虫 기생충,8.8,,,,,,,
玩具总动员3 Toy Story 3,8.9,,,,,,,
傲慢与偏见 Pride & Prejudice,8.7,,,,,,,
大鱼 Big Fish,8.8,,,,,,,
未麻的部屋 Perfect Blue,9.1,,,,,,,
神偷奶爸 Despicable Me,8.6,,,,,,,
告白,8.8,,,,,,,
釜山行 부산행,8.6,,,,,,,
被解救的姜戈 Django Unchained,8.8,,,,,,,
阳光姐妹淘 써니,8.8,,,,,,,
射雕英雄传之东成西就 射鵰英雄傳之東成西就,8.7,,,,,,,
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,8.7,,,,,,,
哪吒闹海,9.1,,,,,,,
我是山姆 I Am Sam,9.0,,,,,,,
恐怖直播 더 테러 라이브,8.7,,,,,,,
新世界 신세계,8.9,,,,,,,
头号玩家 Ready Player One,8.7,,,,,,,
血战钢锯岭 Hacksaw Ridge,8.7,,,,,,,
模仿游戏 The Imitation Game,8.8,,,,,,,
喜宴 囍宴,9.0,,,,,,,
七武士 七人の侍,9.3,,,,,,,
花样年华 花樣年華,8.7,,,,,,,
黑客帝国3：矩阵革命 The Matrix Revolutions,8.8,,,,,,,
头脑特工队 Inside Out,8.8,,,,,,,
电锯惊魂 Saw,8.7,,,,,,,
"三块广告牌 Three Billboards Outside Ebbing, Missouri",8.7,,,,,,,
九品芝麻官,8.7,,,,,,,
达拉斯买家俱乐部 Dallas Buyers Club,8.8,,,,,,,
你的名字。 君の名は。,8.5,,,,,,,
卢旺达饭店 Hotel Rwanda,8.9,,,,,,,
疯狂原始人 The Croods,8.7,,,,,,,
上帝之城 Cidade de Deus,9.0,,,,,,,
惊魂记 Psycho,9.0,,,,,,,
谍影重重3 The Bourne Ultimatum,8.8,,,,,,,
心迷宫,8.7,,,,,,,
风之谷 風の谷のナウシカ,8.9,,,,,,,
英雄本色,8.6,,,,,,,
纵横四海 緃横四海,8.8,,,,,,,
海街日记 海街diary,8.8,,,,,,,
岁月神偷 歲月神偷,8.7,,,,,,,
记忆碎片 Memento,8.7,,,,,,,
色，戒,8.6,,,,,,,
忠犬八公物语 ハチ公物語,9.2,,,,,,,
爱在午夜降临前 Before Midnight,8.9,,,,,,,
绿里奇迹 The Green Mile,8.9,,,,,,,
荒蛮故事 Relatos salvajes,8.8,,,,,,,
爆裂鼓手 Whiplash,8.7,,,,,,,
茶馆,9.5,,,,,,,
小偷家族 万引き家族,8.7,,,,,,,
贫民窟的百万富翁 Slumdog Millionaire,8.6,,,,,,,
无敌破坏王 Wreck-It Ralph,8.7,,,,,,,
疯狂的石头,8.5,,,,,,,
东邪西毒 東邪西毒,8.6,,,,,,,
